frequency (Hz),distance (ft),tx_gain (dBi),rx_gain (dBi),fspl (dB)
200000000.0,1245,7,0,63.05428619526597
200000000.0,1245,7,1,62.05428619526597
200000000.0,1245,7,2,61.05428619526597
200000000.0,1245,7,3,60.05428619526597
200000000.0,1245,7,4,59.05428619526597
200000000.0,1245,7,5,58.05428619526597
200000000.0,1245,7,6,57.05428619526597
200000000.0,1245,7,7,56.05428619526597
200000000.0,1245,7,8,55.05428619526597
200000000.0,1245,7,9,54.05428619526597
200000000.0,1245,7,10,53.05428619526597
200000000.0,1245,7,11,52.05428619526597
200000000.0,1245,7,12,51.05428619526597
200000000.0,1245,7,13,50.05428619526597
200000000.0,1245,7,14,49.05428619526597
200000000.0,1245,7,15,48.05428619526597
200000000.0,1245,8,0,62.05428619526597
200000000.0,1245,8,1,61.05428619526597
200000000.0,1245,8,2,60.05428619526597
200000000.0,1245,8,3,59.05428619526597
200000000.0,1245,8,4,58.05428619526597
200000000.0,1245,8,5,57.05428619526597
200000000.0,1245,8,6,56.05428619526597
200000000.0,1245,8,7,55.05428619526597
200000000.0,1245,8,8,54.05428619526597
200000000.0,1245,8,9,53.05428619526597
200000000.0,1245,8,10,52.05428619526597
200000000.0,1245,8,11,51.05428619526597
200000000.0,1245,8,12,50.05428619526597
200000000.0,1245,8,13,49.05428619526597
200000000.0,1245,8,14,48.05428619526597
200000000.0,1245,8,15,47.05428619526597
200000000.0,1245,9,0,61.05428619526597
200000000.0,1245,9,1,60.05428619526597
200000000.0,1245,9,2,59.05428619526597
200000000.0,1245,9,3,58.05428619526597
200000000.0,1245,9,4,57.05428619526597
200000000.0,1245,9,5,56.05428619526597
200000000.0,1245,9,6,55.05428619526597
200000000.0,1245,9,7,54.05428619526597
200000000.0,1245,9,8,53.05428619526597
200000000.0,1245,9,9,52.05428619526597
200000000.0,1245,9,10,51.05428619526597
200000000.0,1245,9,11,50.05428619526597
200000000.0,1245,9,12,49.05428619526597
200000000.0,1245,9,13,48.05428619526597
200000000.0,1245,9,14,47.05428619526597
200000000.0,1245,9,15,46.05428619526597
200000000.0,1245,10,0,60.05428619526597
200000000.0,1245,10,1,59.05428619526597
200000000.0,1245,10,2,58.05428619526597
200000000.0,1245,10,3,57.05428619526597
200000000.0,1245,10,4,56.05428619526597
200000000.0,1245,10,5,55.05428619526597
200000000.0,1245,10,6,54.05428619526597
200000000.0,1245,10,7,53.05428619526597
200000000.0,1245,10,8,52.05428619526597
200000000.0,1245,10,9,51.05428619526597
200000000.0,1245,10,10,50.05428619526597
200000000.0,1245,10,11,49.05428619526597
200000000.0,1245,10,12,48.05428619526597
200000000.0,1245,10,13,47.05428619526597
200000000.0,1245,10,14,46.05428619526597
200000000.0,1245,10,15,45.05428619526597
200000000.0,1245,11,0,59.05428619526597
200000000.0,1245,11,1,58.05428619526597
200000000.0,1245,11,2,57.05428619526597
200000000.0,1245,11,3,56.05428619526597
200000000.0,1245,11,4,55.05428619526597
200000000.0,1245,11,5,54.05428619526597
200000000.0,1245,11,6,53.05428619526597
200000000.0,1245,11,7,52.05428619526597
200000000.0,1245,11,8,51.05428619526597
200000000.0,1245,11,9,50.05428619526597
200000000.0,1245,11,10,49.05428619526597
200000000.0,1245,11,11,48.05428619526597
200000000.0,1245,11,12,47.05428619526597
200000000.0,1245,11,13,46.05428619526597
200000000.0,1245,11,14,45.05428619526597
200000000.0,1245,11,15,44.05428619526597
200000000.0,1245,12,0,58.05428619526597
200000000.0,1245,12,1,57.05428619526597
200000000.0,1245,12,2,56.05428619526597
200000000.0,1245,12,3,55.05428619526597
200000000.0,1245,12,4,54.05428619526597
200000000.0,1245,12,5,53.05428619526597
200000000.0,1245,12,6,52.05428619526597
200000000.0,1245,12,7,51.05428619526597
200000000.0,1245,12,8,50.05428619526597
200000000.0,1245,12,9,49.05428619526597
200000000.0,1245,12,10,48.05428619526597
200000000.0,1245,12,11,47.05428619526597
200000000.0,1245,12,12,46.05428619526597
200000000.0,1245,12,13,45.05428619526597
200000000.0,1245,12,14,44.05428619526597
200000000.0,1245,12,15,43.05428619526597
200000000.0,1245,13,0,57.05428619526597
200000000.0,1245,13,1,56.05428619526597
200000000.0,1245,13,2,55.05428619526597
200000000.0,1245,13,3,54.05428619526597
200000000.0,1245,13,4,53.05428619526597
200000000.0,1245,13,5,52.05428619526597
200000000.0,1245,13,6,51.05428619526597
200000000.0,1245,13,7,50.05428619526597
200000000.0,1245,13,8,49.05428619526597
200000000.0,1245,13,9,48.05428619526597
200000000.0,1245,13,10,47.05428619526597
200000000.0,1245,13,11,46.05428619526597
200000000.0,1245,13,12,45.05428619526597
200000000.0,1245,13,13,44.05428619526597
200000000.0,1245,13,14,43.05428619526597
200000000.0,1245,13,15,42.05428619526597
200000000.0,1245,14,0,56.05428619526597
200000000.0,1245,14,1,55.05428619526597
200000000.0,1245,14,2,54.05428619526597
200000000.0,1245,14,3,53.05428619526597
200000000.0,1245,14,4,52.05428619526597
200000000.0,1245,14,5,51.05428619526597
200000000.0,1245,14,6,50.05428619526597
200000000.0,1245,14,7,49.05428619526597
200000000.0,1245,14,8,48.05428619526597
200000000.0,1245,14,9,47.05428619526597
200000000.0,1245,14,10,46.05428619526597
200000000.0,1245,14,11,45.05428619526597
200000000.0,1245,14,12,44.05428619526597
200000000.0,1245,14,13,43.05428619526597
200000000.0,1245,14,14,42.05428619526597
200000000.0,1245,14,15,41.05428619526597
200000000.0,1245,15,0,55.05428619526597
200000000.0,1245,15,1,54.05428619526597
200000000.0,1245,15,2,53.05428619526597
200000000.0,1245,15,3,52.05428619526597
200000000.0,1245,15,4,51.05428619526597
200000000.0,1245,15,5,50.05428619526597
200000000.0,1245,15,6,49.05428619526597
200000000.0,1245,15,7,48.05428619526597
200000000.0,1245,15,8,47.05428619526597
200000000.0,1245,15,9,46.05428619526597
200000000.0,1245,15,10,45.05428619526597
200000000.0,1245,15,11,44.05428619526597
200000000.0,1245,15,12,43.05428619526597
200000000.0,1245,15,13,42.05428619526597
200000000.0,1245,15,14,41.05428619526597
200000000.0,1245,15,15,40.05428619526597
200000000.0,1250,0,0,70.08909942679202
200000000.0,1250,0,1,69.08909942679202
200000000.0,1250,0,2,68.08909942679202
200000000.0,1250,0,3,67.08909942679202
200000000.0,1250,0,4,66.08909942679202
200000000.0,1250,0,5,65.08909942679202
200000000.0,1250,0,6,64.08909942679202
200000000.0,1250,0,7,63.08909942679202
200000000.0,1250,0,8,62.08909942679202
200000000.0,1250,0,9,61.08909942679202
200000000.0,1250,0,10,60.08909942679202
200000000.0,1250,0,11,59.08909942679202
200000000.0,1250,0,12,58.08909942679202
200000000.0,1250,0,13,57.08909942679202
200000000.0,1250,0,14,56.08909942679202
200000000.0,1250,0,15,55.08909942679202
200000000.0,1250,1,0,69.08909942679202
200000000.0,1250,1,1,68.08909942679202
200000000.0,1250,1,2,67.08909942679202
200000000.0,1250,1,3,66.08909942679202
200000000.0,1250,1,4,65.08909942679202
200000000.0,1250,1,5,64.08909942679202
200000000.0,1250,1,6,63.08909942679202
200000000.0,1250,1,7,62.08909942679202
200000000.0,1250,1,8,61.08909942679202
200000000.0,1250,1,9,60.08909942679202
200000000.0,1250,1,10,59.08909942679202
200000000.0,1250,1,11,58.08909942679202
200000000.0,1250,1,12,57.08909942679202
200000000.0,1250,1,13,56.08909942679202
200000000.0,1250,1,14,55.08909942679202
200000000.0,1250,1,15,54.08909942679202
200000000.0,1250,2,0,68.08909942679202
200000000.0,1250,2,1,67.08909942679202
200000000.0,1250,2,2,66.08909942679202
200000000.0,1250,2,3,65.08909942679202
200000000.0,1250,2,4,64.08909942679202
200000000.0,1250,2,5,63.08909942679202
200000000.0,1250,2,6,62.08909942679202
200000000.0,1250,2,7,61.08909942679202
200000000.0,1250,2,8,60.08909942679202
200000000.0,1250,2,9,59.08909942679202
200000000.0,1250,2,10,58.08909942679202
200000000.0,1250,2,11,57.08909942679202
200000000.0,1250,2,12,56.08909942679202
200000000.0,1250,2,13,55.08909942679202
200000000.0,1250,2,14,54.08909942679202
200000000.0,1250,2,15,53.08909942679202
200000000.0,1250,3,0,67.08909942679202
200000000.0,1250,3,1,66.08909942679202
200000000.0,1250,3,2,65.08909942679202
200000000.0,1250,3,3,64.08909942679202
200000000.0,1250,3,4,63.08909942679202
200000000.0,1250,3,5,62.08909942679202
200000000.0,1250,3,6,61.08909942679202
200000000.0,1250,3,7,60.08909942679202
200000000.0,1250,3,8,59.08909942679202
200000000.0,1250,3,9,58.08909942679202
200000000.0,1250,3,10,57.08909942679202
