{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 28, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -43.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 29, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -42.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 32, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -39.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 30, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -41.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 31, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -40.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 33, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -38.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 34, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -37.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 38, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -33.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 35, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -36.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 36, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -35.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 41, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -30.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 37, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -34.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 39, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -32.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 40, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -31.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 42, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -29.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 20, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -51.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 22, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -49.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 23, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -48.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 170, 'tx_power_dBm': 43, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.03874464033308, 'received_power_dBm': -28.03874464033308}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 24, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -47.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 26, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -45.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 28, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -43.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 27, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -44.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 21, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -50.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 30, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -41.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 31, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -40.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 32, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -39.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 35, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -36.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 33, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -38.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 34, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -37.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 38, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -33.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 37, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -34.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 36, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -35.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 29, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -42.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 42, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -29.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 41, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -30.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 22, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -49.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 39, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -32.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 24, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -47.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 20, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -51.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 25, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -46.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 27, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -44.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 25, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -46.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 21, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -50.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 26, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -45.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 43, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -28.29052718649349}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 23, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -48.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 28, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -43.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 29, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -42.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 180, 'tx_power_dBm': 33, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.53521631483372, 'received_power_dBm': -38.53521631483372}
{'frequency_MHz': 2600, 'distance_ft': 175, 'tx_power_dBm': 40, 'tx_gain_dBi': 2, 'rx_gain_dBi': 2, 'path_loss_exponent': 2, 'path_loss_dB': 75.29052718649349, 'received_power_dBm': -31.29052718649349}
